Symbol,Score,Loss,Under
HKG:8070,4.02,43.7%,U
HKG:0166,2.61,46.0%,U
HKG:0865,3.73,44.5%,U
HKG:0552,5.21,43.1%,U
HKG:3933,6.94,43.0%,U
HKG:2230,5.76,43.1%,U
HKG:1381,4.32,43.7%,U
HKG:1686,5.73,44.7%,O
HKG:2383,4.46,46.0%,U
HKG:1305,5.16,43.1%,U
HKG:0331,5.73,43.1%,U
HKG:0998,6.41,42.0%,U
HKG:3699,5.67,43.1%,U
HKG:0182,4.22,43.7%,U
HKG:1971,6.32,42.0%,U
HKG:9888,4.57,43.7%,U
HKG:0486,3.84,44.5%,U
HKG:1205,3.09,44.5%,U
HKG:0582,3.09,44.5%,U
HKG:9936,4.66,43.7%,U
HKG:0369,3.62,44.5%,U
HKG:0882,4.06,45.2%,U
HKG:0503,5.06,44.9%,O
HKG:2238,4.77,43.7%,U
HKG:8473,4.71,43.7%,U
HKG:6668,6.71,42.0%,U
HKG:1132,3.54,45.8%,U
HKG:3393,6.44,43.2%,O
HKG:2381,4.49,45.8%,O
HKG:2189,6.60,42.0%,U
HKG:0564,6.59,42.0%,U
HKG:0984,3.07,44.5%,U
HKG:2147,4.00,46.1%,O
HKG:3601,4.94,46.0%,U
HKG:0038,5.07,43.1%,U
HKG:2218,5.93,44.9%,O
HKG:1669,4.54,43.7%,U
HKG:0636,6.50,45.1%,O
HKG:1958,5.94,44.7%,O
HKG:1527,3.96,47.0%,O
HKG:1553,4.40,43.7%,U
HKG:2165,4.39,43.7%,U
HKG:9918,4.38,43.7%,U
HKG:1186,6.25,42.0%,U
HKG:1747,4.62,45.8%,O
HKG:1066,7.14,42.7%,U
HKG:2458,3.95,46.9%,O
HKG:2682,6.20,42.0%,U
HKG:0841,2.88,46.0%,U
HKG:1297,3.91,44.5%,U
HKG:0981,5.25,44.0%,U
HKG:1050,6.06,42.0%,U
HKG:0960,5.29,43.1%,U
HKG:3768,3.81,44.5%,U
HKG:9696,4.28,43.7%,U
HKG:2360,6.92,45.1%,O
HKG:1690,2.92,47.8%,U
HKG:1177,7.32,44.1%,U
HKG:8341,3.16,44.5%,U
HKG:2285,5.31,44.6%,U
HKG:1521,5.40,44.9%,U
HKG:0983,3.71,44.5%,U
HKG:0906,5.82,43.1%,U
HKG:1072,4.92,44.7%,U
HKG:2196,6.30,43.3%,U
HKG:6088,4.33,45.8%,O
HKG:0598,5.73,43.1%,U
HKG:6093,5.45,45.2%,O
HKG:8179,3.05,44.5%,U
HKG:8416,4.38,43.7%,U
HKG:0700,5.61,43.1%,U
HKG:2156,6.33,43.0%,U
HKG:0209,2.02,46.0%,U
HKG:3877,3.24,44.5%,U
HKG:3347,7.98,41.5%,O
HKG:2080,4.12,44.7%,U
HKG:0207,3.45,44.5%,U
HKG:1099,6.26,42.0%,U
HKG:0831,5.82,45.2%,O
HKG:6812,4.56,46.0%,O
HKG:6626,6.22,42.0%,U
HKG:0641,3.19,45.8%,U
HKG:6838,5.22,43.1%,U
HKG:0710,6.32,45.1%,O
HKG:1368,5.98,47.6%,O
HKG:1073,2.74,46.0%,U
HKG:0750,2.52,46.0%,U
HKG:1359,3.99,45.8%,U
HKG:2558,4.99,43.7%,U
HKG:3983,4.99,43.7%,U
HKG:0528,4.33,43.7%,U
HKG:0672,2.14,46.0%,U
HKG:0953,3.70,47.0%,O
HKG:1683,2.71,46.0%,U
HKG:1925,4.93,43.7%,U
HKG:1515,5.67,43.1%,U
HKG:1473,3.36,44.5%,U
HKG:2666,3.70,44.5%,U
HKG:0980,3.33,44.5%,U
HKG:1698,4.18,43.7%,U
HKG:1658,6.58,42.0%,U
HKG:0767,2.06,46.0%,U
HKG:0586,5.46,43.1%,U
HKG:1222,2.97,46.0%,U
HKG:0472,2.97,46.0%,U
HKG:0413,3.51,46.2%,U
HKG:0763,6.05,43.2%,O
HKG:3633,5.40,43.1%,U
HKG:1691,5.40,43.1%,U
HKG:0355,2.02,46.0%,U
HKG:0315,5.35,44.9%,O
HKG:2125,3.23,44.5%,U
HKG:1765,3.68,44.5%,U
HKG:2005,6.77,45.1%,O
HKG:1931,4.90,49.4%,O
HKG:1530,7.30,43.5%,U
HKG:0291,7.42,43.0%,O
HKG:2096,5.02,47.6%,O
HKG:0617,2.51,48.4%,U
HKG:1088,6.51,43.7%,U
HKG:9911,4.59,43.7%,U
HKG:1293,4.45,43.7%,U
HKG:1933,3.11,44.5%,U
HKG:1913,5.13,47.6%,O
HKG:1957,4.43,49.4%,O
HKG:9988,5.13,43.1%,U
HKG:0031,5.12,43.1%,U
HKG:0990,5.10,43.1%,U
HKG:8646,4.35,45.8%,O
HKG:0506,6.05,42.0%,U
HKG:1084,5.29,47.6%,O
HKG:0544,2.13,46.0%,U
HKG:0354,5.95,43.1%,U
HKG:1345,5.87,47.6%,O
HKG:6993,4.90,46.0%,O
HKG:0146,4.93,49.4%,O
HKG:8507,3.29,44.5%,U
HKG:0982,5.67,45.2%,O
HKG:1922,5.85,43.1%,U
HKG:0842,5.07,44.6%,U
HKG:1393,4.13,43.7%,U
HKG:1385,5.37,47.6%,O
HKG:6616,4.03,46.1%,O
HKG:0195,4.12,43.7%,U
HKG:0085,5.73,47.6%,O
HKG:1861,3.58,44.5%,U
HKG:6805,4.05,43.7%,U
HKG:1431,5.66,43.1%,U
HKG:1209,6.85,45.1%,O
HKG:1120,3.56,46.2%,U
HKG:0830,4.46,44.9%,U
HKG:1905,3.45,44.5%,U
HKG:9633,6.68,45.1%,O
HKG:1091,3.91,44.5%,U
HKG:1786,3.76,46.9%,O
HKG:8362,2.71,46.0%,U
HKG:6068,4.48,43.7%,U
HKG:1818,4.64,43.7%,U
HKG:1883,5.98,44.9%,U
HKG:1760,4.71,49.4%,O
HKG:0288,6.51,43.7%,U
HKG:0932,3.48,47.3%,O
HKG:1362,3.73,44.5%,U
HKG:1606,4.34,43.7%,U
